kind,timestamp_us,sequence,validity,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps,payload_length,g000_z0_raw,g000_z1_raw,g000_z2_raw,g000_z3_raw,g000_z4_raw,g000_z5_raw,g000_z6_raw,g000_z7_raw,g000_z8_raw,g000_z9_raw,g001_z1_raw,g001_z2_raw,g001_z3_raw,g001_z4_raw,g002_z1_raw,g002_z2_raw,g002_z3_raw,g002_z4_raw,g003_z1_raw,g003_z2_raw,g003_z3_raw,g003_z4_raw,g004_z1_raw,g004_z2_raw,g004_z3_raw,g004_z4_raw
IMU_SAMPLE,93406489,2014,7,-45,164,-985,61,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93446488,2015,7,-45,163,-985,122,61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93486489,2016,7,-45,164,-989,61,183,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93526489,2017,7,-43,164,-987,61,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93566489,2018,7,-45,165,-987,61,0,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93606488,2019,7,-45,164,-989,122,61,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93646489,2020,7,-45,165,-988,122,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93686489,2021,7,-43,164,-983,0,61,122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93726489,2022,7,-45,162,-986,183,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93766489,2023,7,-43,164,-989,122,-61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93806489,2024,7,-44,164,-989,61,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93846489,2025,7,-42,163,-987,0,0,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93886488,2026,7,-46,164,-992,0,305,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93926489,2027,7,-43,164,-983,183,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93966489,2028,7,-45,163,-989,122,-61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,94006489,2029,7,-46,165,-986,61,0,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,94046488,2030,7,-46,163,-987,61,-61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,94086488,2031,7,-43,164,-991,0,-61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,94126489,2032,7,-44,163,-986,0,183,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,94166489,2033,7,-45,164,-986,122,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,94206489,2034,7,-44,164,-988,305,0,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,94246488,2035,7,-46,164,-989,183,244,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
