kind,event_subtype,timestamp_us,sequence,validity,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps,payload_length,g000_z0_raw,g000_z1_raw,g000_z2_raw,g000_z3_raw,g000_z4_raw,g000_z5_raw,g000_z6_raw,g000_z7_raw,g000_z8_raw,g000_z9_raw,g001_z1_raw,g001_z2_raw,g001_z3_raw,g001_z4_raw,g002_z1_raw,g002_z2_raw,g002_z3_raw,g002_z4_raw,g003_z1_raw,g003_z2_raw,g003_z3_raw,g003_z4_raw,g004_z1_raw,g004_z2_raw,g004_z3_raw,g004_z4_raw
IMU_SAMPLE,,85862527,1854,7,-34,199,-971,305,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,85902527,1855,7,-33,194,-969,122,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,,85925826,108,,,,,,,,1112,66,147,56,32,163,32,128,36,24,240,255,56,60,0,255,24,147,66,255,0,0,144,255,0,255,32
IMU_SAMPLE,,86034856,1856,7,-34,191,-976,61,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86062527,1857,7,-35,192,-973,305,-61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86189702,1858,7,-35,197,-969,0,61,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,,86196154,109,,,,,,,,1112,66,147,56,32,163,32,128,36,24,240,255,56,60,0,255,24,147,66,255,0,0,144,255,0,255,32
IMU_SAMPLE,,86222527,1859,7,-38,197,-972,61,-61,-183,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86345574,1860,7,-36,197,-974,305,244,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86382527,1861,7,-35,193,-970,244,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86422527,1862,7,-34,192,-973,183,0,-183,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86462527,1863,7,-35,194,-974,183,0,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86502527,1864,7,-37,193,-971,-122,183,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86542527,1865,7,-36,194,-974,244,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86582527,1866,7,-36,195,-972,183,122,-183,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86622527,1867,7,-34,196,-970,61,61,-183,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,86662527,1868,7,-33,195,-974,183,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
